;title;price;post link;image link;location
13;Peugeot 504 2.3 Xsd Tc Aa Dh;5.500;https://auto.mercadolibre.com.ar/MLA-1382043579-peugeot-504-1993-23-xsd-tc-aa-dh-_JM#position=14&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_869402-MLA69841422325_062023-W.jpg;Lomas de Zamora - Bs.As. G.B.A. Sur
14;Peugeot 504 2.0 Sl;13.000;https://auto.mercadolibre.com.ar/MLA-1479739890-peugeot-504-1999-20-sl-_JM#position=15&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_607325-MLA71214433236_082023-W.jpg;Capital Federal - Capital Federal
15;Peugeot 504 2.0 Sr Ii;580.000;https://auto.mercadolibre.com.ar/MLA-1388047725-peugeot-504-_JM#position=16&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_800314-MLA71686388201_092023-W.jpg;Capital Federal - Capital Federal
16;Peugeot 504 2.3 Pick Up Gd Tn;3.800.000;https://auto.mercadolibre.com.ar/MLA-1476380376-peugeot-pick-up-504-gd-504-gd-13-_JM#position=17&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_696311-MLA69964927553_062023-W.jpg;Ezeiza - Bs.As. G.B.A. Sur
17;Peugeot 504 2.3 Pick Up Grd;7.500.000;https://auto.mercadolibre.com.ar/MLA-1387892985-peugeot-pick-up-83000km-_JM#position=18&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_962415-MLA70213846962_062023-W.jpg;La Plata - Bs.As. G.B.A. Sur
18;Peugeot 504 Sedan 4 Puertas;280.000;https://auto.mercadolibre.com.ar/MLA-1462578532-peugeot-504-sedan-4-puertas-_JM#position=19&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_672237-MLA53881101194_022023-W.jpg;Tigre - Bs.As. G.B.A. Norte
19;Peugeot 504 Gr Tc;10.000;https://auto.mercadolibre.com.ar/MLA-1385746875-peugeot-504-gr-tc-1986-_JM#position=20&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_724966-MLA54511632416_032023-W.jpg;Capital Federal - Capital Federal
20;Peugeot 504 Srtca;2.200;https://auto.mercadolibre.com.ar/MLA-1465471624-peugeot-504-srtca-_JM#position=21&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_789680-MLA70863716399_082023-W.jpg;Capital Federal - Capital Federal
21;Peugeot 504 1.8 Xse;4.500;https://auto.mercadolibre.com.ar/MLA-1473755394-peugeot-504-18-xse-dissano-automotores-_JM#position=22&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_837652-MLA69978194758_062023-W.jpg;Capital Federal - Capital Federal
22;Peugeot 504 2.3 Xsd Tc Aa Dh;3.300.000;https://auto.mercadolibre.com.ar/MLA-1378790835-peugeot-504-xsd-tc-aa-dh-1995-_JM#position=23&search_layout=grid&type=item&tracking_id=b1b2d221-fc7a-4180-bb4e-93712c06a9a3;https://http2.mlstatic.com/D_NQ_NP_698082-MLA70606320700_072023-W.jpg;Mar del Plata - Bs.As. Costa Atlántica
